data_time,year,month,day,hour,temperature,dew_point,pressure,wind_direction,wind_speed
2022-01-01 00:00:00.000000,2022,1,1,0,-22.8,-26.6,1031.9,106.0,3.0
2022-01-01 03:00:00.000000,2022,1,1,3,-19.4,-25.4,1028.7,94.0,3.3
2022-01-01 06:00:00.000000,2022,1,1,6,-18.0,-24.5,1023.9,90.0,4.2
2022-01-01 09:00:00.000000,2022,1,1,9,-17.0,-20.5,1022.3,50.0,2.4
2022-01-01 12:00:00.000000,2022,1,1,12,-18.2,-21.1,1022.5,331.0,2.3
2022-01-01 15:00:00.000000,2022,1,1,15,-19.9,-22.8,1024.6,264.0,2.9
2022-01-01 18:00:00.000000,2022,1,1,18,-21.4,-23.9,1025.5,227.0,2.1
2022-01-01 21:00:00.000000,2022,1,1,21,-21.3,-24.3,1024.1,248.0,3.0
2022-01-02 00:00:00.000000,2022,1,2,0,-20.9,-24.5,1024.1,253.0,1.9
2022-01-02 03:00:00.000000,2022,1,2,3,-14.7,-22.0,1023.2,250.0,4.6
2022-01-02 06:00:00.000000,2022,1,2,6,-11.7,-21.5,1022.2,269.0,3.5
2022-01-02 09:00:00.000000,2022,1,2,9,-15.2,-20.9,1023.5,256.0,2.1
2022-01-02 12:00:00.000000,2022,1,2,12,-15.9,-20.6,1023.1,260.0,2.7
2022-01-02 15:00:00.000000,2022,1,2,15,-18.3,-22.1,1023.2,250.0,2.5
2022-01-02 18:00:00.000000,2022,1,2,18,-19.0,-22.9,1022.9,244.0,2.5
2022-01-02 21:00:00.000000,2022,1,2,21,-20.0,-24.2,1023.0,251.0,2.6
2022-01-03 00:00:00.000000,2022,1,3,0,-20.2,-23.0,1021.9,249.0,1.7
2022-01-03 03:00:00.000000,2022,1,3,3,-13.4,-21.4,1021.1,254.0,2.5
2022-01-03 06:00:00.000000,2022,1,3,6,-11.7,-20.8,1020.4,247.0,2.7
2022-01-03 09:00:00.000000,2022,1,3,9,-15.7,-21.0,1023.4,261.0,3.0
2022-01-03 12:00:00.000000,2022,1,3,12,-18.4,-22.8,1025.6,273.0,1.7
2022-01-03 15:00:00.000000,2022,1,3,15,-20.4,-23.7,1027.2,257.0,1.6
2022-01-03 18:00:00.000000,2022,1,3,18,-20.8,-24.2,1029.0,255.0,2.3
2022-01-03 21:00:00.000000,2022,1,3,21,-24.0,-27.1,1030.3,245.0,1.5
2022-01-04 00:00:00.000000,2022,1,4,0,-23.5,-26.5,1032.7,234.0,1.9
2022-01-04 03:00:00.000000,2022,1,4,3,-17.0,-24.1,1033.3,264.0,1.8
2022-01-04 06:00:00.000000,2022,1,4,6,-14.5,-25.4,1034.0,281.0,2.0
2022-01-04 09:00:00.000000,2022,1,4,9,-17.4,-23.6,1035.3,248.0,1.9
2022-01-04 12:00:00.000000,2022,1,4,12,-19.5,-24.2,1035.1,245.0,1.3
2022-01-04 15:00:00.000000,2022,1,4,15,-23.5,-26.2,1034.8,36.0,0.3
2022-01-04 18:00:00.000000,2022,1,4,18,-23.9,-26.4,1033.9,92.0,0.7
2022-01-04 21:00:00.000000,2022,1,4,21,-23.0,-25.9,1033.1,98.0,0.7
2022-01-05 00:00:00.000000,2022,1,5,0,-21.4,-23.9,1032.2,60.0,1.1
