data_time,year,month,day,hour,temperature,dew_point,pressure,wind_direction,wind_speed
2024-01-01 00:00:00.000000,2024,1,1,0,-15.9,-20.6,1025.9,160.0,4.0
2024-01-01 03:00:00.000000,2024,1,1,3,-11.5,-17.1,1022.1,180.0,3.0
2024-01-01 06:00:00.000000,2024,1,1,6,-10.1,-16.8,1018.3,190.0,4.0
2024-01-01 09:00:00.000000,2024,1,1,9,-10.2,-15.3,1018.8,220.0,3.0
2024-01-01 12:00:00.000000,2024,1,1,12,-11.5,-16.0,1020.2,240.0,3.0
2024-01-01 15:00:00.000000,2024,1,1,15,-12.3,-16.1,1020.6,250.0,3.0
2024-01-01 18:00:00.000000,2024,1,1,18,-13.9,-16.9,1020.9,250.0,3.0
2024-01-01 21:00:00.000000,2024,1,1,21,-14.8,-16.9,1021.6,260.0,2.0
2024-01-02 00:00:00.000000,2024,1,2,0,-16.6,-18.5,1022.4,250.0,2.0
2024-01-02 03:00:00.000000,2024,1,2,3,-11.5,-15.5,1023.0,210.0,1.0
2024-01-02 06:00:00.000000,2024,1,2,6,-9.2,-15.5,1021.9,80.0,1.0
2024-01-02 09:00:00.000000,2024,1,2,9,-14.6,-16.8,1022.7,250.0,1.0
2024-01-02 12:00:00.000000,2024,1,2,12,-19.6,-21.5,1023.0,100.0,1.0
2024-01-02 15:00:00.000000,2024,1,2,15,-20.0,-22.3,1021.6,30.0,1.0
2024-01-02 18:00:00.000000,2024,1,2,18,-18.2,-20.1,1021.4,270.0,3.0
2024-01-02 21:00:00.000000,2024,1,2,21,-15.0,-16.7,1019.7,130.0,1.0
2024-01-03 00:00:00.000000,2024,1,3,0,-13.0,-14.6,1019.6,220.0,1.0
2024-01-03 03:00:00.000000,2024,1,3,3,-10.7,-12.2,1019.0,210.0,2.0
2024-01-03 06:00:00.000000,2024,1,3,6,-8.9,-13.4,1017.8,220.0,3.0
2024-01-03 09:00:00.000000,2024,1,3,9,-11.3,-14.1,1017.4,180.0,2.0
2024-01-03 15:00:00.000000,2024,1,3,15,-11.2,-14.9,1015.6,170.0,3.0
2024-01-03 18:00:00.000000,2024,1,3,18,-9.4,-13.9,1014.2,170.0,4.0
2024-01-03 21:00:00.000000,2024,1,3,21,-12.0,-14.7,1011.4,120.0,2.0
2024-01-04 00:00:00.000000,2024,1,4,0,-7.2,-12.8,1009.3,150.0,3.0
2024-01-04 03:00:00.000000,2024,1,4,3,-3.9,-11.6,1007.6,190.0,5.0
2024-01-04 06:00:00.000000,2024,1,4,6,-2.5,-9.6,1005.3,190.0,5.0
2024-01-04 09:00:00.000000,2024,1,4,9,-1.9,-6.8,1005.9,230.0,3.0
2024-01-04 12:00:00.000000,2024,1,4,12,-7.3,-9.2,1007.4,270.0,2.0
2024-01-04 15:00:00.000000,2024,1,4,15,-12.0,-14.7,1010.1,270.0,4.0
2024-01-04 18:00:00.000000,2024,1,4,18,-15.3,-18.0,1013.1,250.0,3.0
2024-01-04 21:00:00.000000,2024,1,4,21,-16.3,-19.2,1015.9,250.0,4.0
2024-01-05 00:00:00.000000,2024,1,5,0,-16.2,-19.1,1019.1,260.0,4.0
2024-01-05 03:00:00.000000,2024,1,5,3,-15.2,-19.9,1021.1,270.0,3.0
2024-01-05 06:00:00.000000,2024,1,5,6,-14.8,-19.9,1021.7,260.0,3.0
2024-01-05 09:00:00.000000,2024,1,5,9,-17.3,-20.8,1023.4,260.0,2.0
2024-01-05 12:00:00.000000,2024,1,5,12,-20.6,-23.1,1023.9,280.0,1.0
2024-01-05 15:00:00.000000,2024,1,5,15,-20.1,-22.5,1023.9,240.0,1.0
2024-01-05 18:00:00.000000,2024,1,5,18,-23.9,-27.4,1024.3,280.0,1.0
2024-01-05 21:00:00.000000,2024,1,5,21,-25.9,-28.9,1024.0,160.0,1.0
2024-01-06 00:00:00.000000,2024,1,6,0,-21.8,-24.2,1024.2,0.0,0.0
2024-01-06 03:00:00.000000,2024,1,6,3,-14.2,-17.3,1022.7,140.0,1.0
2024-01-06 06:00:00.000000,2024,1,6,6,-13.8,-18.4,1021.7,260.0,3.0
2024-01-06 09:00:00.000000,2024,1,6,9,-16.0,-18.9,1022.9,270.0,2.0
2024-01-06 12:00:00.000000,2024,1,6,12,-17.7,-19.9,1023.4,260.0,2.0
2024-01-06 15:00:00.000000,2024,1,6,15,-19.5,-21.7,1023.6,300.0,2.0
2024-01-06 18:00:00.000000,2024,1,6,18,-20.1,-22.5,1024.3,280.0,4.0
2024-01-06 21:00:00.000000,2024,1,6,21,-22.4,-25.0,1025.5,250.0,2.0
2024-01-07 00:00:00.000000,2024,1,7,0,-22.9,-25.5,1027.6,260.0,2.0
2024-01-07 03:00:00.000000,2024,1,7,3,-19.4,-22.9,1028.6,270.0,3.0
2024-01-07 06:00:00.000000,2024,1,7,6,-16.4,-22.4,1028.8,260.0,3.0
2024-01-07 09:00:00.000000,2024,1,7,9,-19.1,-23.2,1029.6,250.0,2.0
2024-01-07 12:00:00.000000,2024,1,7,12,-19.2,-23.6,1028.9,230.0,3.0
2024-01-07 15:00:00.000000,2024,1,7,15,-19.0,-24.5,1027.3,230.0,2.0
2024-01-07 18:00:00.000000,2024,1,7,18,-18.7,-24.4,1025.5,230.0,2.0
2024-01-07 21:00:00.000000,2024,1,7,21,-16.7,-23.4,1022.4,190.0,5.0
2024-01-08 00:00:00.000000,2024,1,8,0,-16.2,-23.4,1020.3,180.0,5.0
2024-01-08 03:00:00.000000,2024,1,8,3,-12.5,-21.2,1017.6,190.0,5.0
2024-01-08 06:00:00.000000,2024,1,8,6,-10.8,-18.3,1015.7,220.0,4.0
2024-01-08 09:00:00.000000,2024,1,8,9,-13.0,-17.5,1016.8,260.0,2.0
2024-01-08 12:00:00.000000,2024,1,8,12,-15.8,-19.5,1018.5,260.0,2.0
2024-01-08 15:00:00.000000,2024,1,8,15,-17.7,-20.5,1019.9,300.0,2.0
2024-01-08 18:00:00.000000,2024,1,8,18,-21.0,-23.8,1021.9,290.0,2.0
2024-01-08 21:00:00.000000,2024,1,8,21,-23.8,-26.6,1023.1,250.0,2.0
2024-01-09 00:00:00.000000,2024,1,9,0,-23.6,-26.5,1025.2,250.0,2.0
2024-01-09 03:00:00.000000,2024,1,9,3,-15.9,-22.7,1024.8,220.0,2.0
2024-01-09 06:00:00.000000,2024,1,9,6,-13.4,-21.8,1023.4,240.0,4.0
2024-01-09 09:00:00.000000,2024,1,9,9,-16.4,-21.4,1024.0,270.0,2.0
2024-01-09 12:00:00.000000,2024,1,9,12,-17.5,-21.6,1024.7,257.0,2.6
2024-01-09 15:00:00.000000,2024,1,9,15,-19.7,-22.8,1023.7,247.0,1.5
2024-01-09 18:00:00.000000,2024,1,9,18,-24.0,-26.5,1023.1,140.0,1.0
2024-01-09 21:00:00.000000,2024,1,9,21,-20.3,-22.4,1020.4,170.0,1.0
2024-01-10 00:00:00.000000,2024,1,10,0,-16.9,-20.3,1018.4,170.0,3.0
2024-01-10 03:00:00.000000,2024,1,10,3,-9.8,-18.0,1013.7,190.0,6.0
2024-01-10 06:00:00.000000,2024,1,10,6,-8.0,-16.1,1010.3,200.0,6.0
2024-01-10 09:00:00.000000,2024,1,10,9,-7.6,-14.9,1008.3,190.0,5.0
2024-01-10 12:00:00.000000,2024,1,10,12,-7.6,-14.6,1007.4,200.0,4.0
2024-01-10 15:00:00.000000,2024,1,10,15,-7.3,-12.6,1006.4,210.0,5.0
2024-01-10 18:00:00.000000,2024,1,10,18,-8.8,-11.9,1006.2,240.0,2.0
2024-01-10 21:00:00.000000,2024,1,10,21,-10.2,-12.5,1006.0,280.0,1.0
2024-01-11 00:00:00.000000,2024,1,11,0,-12.0,-14.7,1007.5,320.0,2.0
2024-01-11 03:00:00.000000,2024,1,11,3,-11.2,-14.7,1009.0,300.0,3.0
2024-01-11 06:00:00.000000,2024,1,11,6,-14.5,-19.3,1011.1,290.0,5.0
2024-01-11 09:00:00.000000,2024,1,11,9,-16.9,-20.6,1014.5,270.0,2.0
2024-01-11 12:00:00.000000,2024,1,11,12,-17.9,-21.4,1016.2,290.0,3.0
2024-01-11 15:00:00.000000,2024,1,11,15,-19.8,-23.1,1017.2,260.0,3.0
2024-01-11 18:00:00.000000,2024,1,11,18,-21.2,-24.0,1018.4,260.0,2.0
2024-01-11 21:00:00.000000,2024,1,11,21,-22.1,-24.9,1018.7,260.0,2.0
2024-01-12 00:00:00.000000,2024,1,12,0,-21.3,-24.0,1020.3,250.0,1.0
2024-01-12 03:00:00.000000,2024,1,12,3,-16.0,-20.7,1020.4,310.0,1.0
2024-01-12 06:00:00.000000,2024,1,12,6,-14.4,-20.5,1020.8,280.0,2.0
2024-01-12 09:00:00.000000,2024,1,12,9,-19.1,-21.8,1023.5,10.0,1.0
2024-01-12 12:00:00.000000,2024,1,12,12,-20.9,-23.3,1025.7,330.0,1.0
2024-01-12 15:00:00.000000,2024,1,12,15,-25.3,-28.3,1026.8,0.0,0.0
2024-01-12 18:00:00.000000,2024,1,12,18,-23.6,-26.1,1028.5,250.0,2.0
2024-01-12 21:00:00.000000,2024,1,12,21,-27.4,-30.3,1029.1,260.0,1.0
2024-01-13 00:00:00.000000,2024,1,13,0,-28.0,-30.9,1029.6,150.0,1.0
2024-01-13 03:00:00.000000,2024,1,13,3,-17.2,-20.3,1028.3,150.0,2.0
2024-01-13 06:00:00.000000,2024,1,13,6,-14.8,-19.4,1025.2,130.0,1.0
2024-01-13 09:00:00.000000,2024,1,13,9,-15.6,-19.2,1023.2,120.0,3.0
2024-01-13 12:00:00.000000,2024,1,13,12,-16.3,-19.5,1020.0,80.0,2.0
2024-01-13 15:00:00.000000,2024,1,13,15,-15.6,-19.0,1017.5,350.0,1.0
2024-01-13 18:00:00.000000,2024,1,13,18,-16.5,-18.7,1018.2,250.0,2.0
2024-01-13 21:00:00.000000,2024,1,13,21,-14.6,-17.3,1019.6,280.0,3.0
2024-01-14 00:00:00.000000,2024,1,14,0,-15.4,-21.2,1023.2,280.0,5.0
2024-01-14 03:00:00.000000,2024,1,14,3,-12.9,-21.9,1025.4,290.0,4.0
2024-01-14 06:00:00.000000,2024,1,14,6,-11.5,-20.3,1025.1,260.0,6.0
2024-01-14 09:00:00.000000,2024,1,14,9,-14.0,-20.3,1025.9,270.0,2.0
2024-01-14 12:00:00.000000,2024,1,14,12,-15.7,-22.3,1026.6,250.0,2.0
2024-01-14 15:00:00.000000,2024,1,14,15,-15.7,-23.1,1026.5,280.0,3.0
2024-01-14 18:00:00.000000,2024,1,14,18,-18.3,-24.9,1027.4,270.0,2.0
2024-01-14 21:00:00.000000,2024,1,14,21,-20.3,-25.9,1028.5,260.0,2.0
2024-01-15 00:00:00.000000,2024,1,15,0,-18.7,-25.1,1029.7,250.0,2.0
2024-01-15 03:00:00.000000,2024,1,15,3,-14.1,-24.0,1029.9,260.0,3.0
2024-01-15 06:00:00.000000,2024,1,15,6,-12.1,-23.0,1030.1,260.0,3.0
2024-01-15 09:00:00.000000,2024,1,15,9,-15.2,-22.8,1031.8,260.0,2.0
2024-01-15 12:00:00.000000,2024,1,15,12,-16.4,-21.4,1033.2,250.0,2.0
2024-01-15 15:00:00.000000,2024,1,15,15,-16.2,-21.8,1032.5,250.0,2.0
2024-01-15 18:00:00.000000,2024,1,15,18,-16.4,-22.4,1031.8,240.0,2.0
2024-01-15 21:00:00.000000,2024,1,15,21,-21.2,-24.9,1031.3,120.0,1.0
2024-01-16 00:00:00.000000,2024,1,16,0,-16.4,-21.3,1029.9,160.0,2.0
2024-01-16 03:00:00.000000,2024,1,16,3,-8.7,-18.0,1027.0,220.0,5.0
2024-01-16 06:00:00.000000,2024,1,16,6,-5.8,-16.1,1024.0,210.0,5.0
2024-01-16 09:00:00.000000,2024,1,16,9,-6.5,-15.7,1021.7,200.0,5.0
2024-01-16 12:00:00.000000,2024,1,16,12,-5.0,-14.8,1020.0,210.0,6.0
2024-01-16 15:00:00.000000,2024,1,16,15,-6.1,-11.8,1018.4,200.0,3.0
2024-01-16 18:00:00.000000,2024,1,16,18,-5.2,-9.6,1018.1,210.0,3.0
2024-01-16 21:00:00.000000,2024,1,16,21,-6.7,-9.6,1018.2,220.0,3.0
2024-01-17 00:00:00.000000,2024,1,17,0,-9.5,-11.3,1020.2,270.0,2.0
2024-01-17 03:00:00.000000,2024,1,17,3,-9.3,-13.6,1022.0,290.0,3.0
2024-01-17 06:00:00.000000,2024,1,17,6,-8.2,-14.6,1022.6,270.0,4.0
2024-01-17 09:00:00.000000,2024,1,17,9,-11.3,-16.4,1025.2,270.0,2.0
2024-01-17 12:00:00.000000,2024,1,17,12,-13.2,-17.2,1028.0,290.0,2.0
2024-01-17 15:00:00.000000,2024,1,17,15,-16.5,-19.3,1029.4,230.0,2.0
